gesture,rep,t_ms,gx,gy,gz
left,6,181,-35.125,19.750,18.500
left,6,191,-37.000,27.125,15.063
left,6,201,-37.813,32.125,12.375
left,6,211,-39.000,36.750,10.438
left,6,221,-40.250,43.563,8.563
left,6,231,-41.375,51.250,7.312
left,6,241,-42.063,65.000,3.375
left,6,251,-38.813,78.063,-4.375
left,6,261,-30.125,90.063,-16.187
left,6,271,-12.438,99.563,-32.500
left,6,281,5.312,100.938,-42.813
left,6,291,24.625,97.188,-50.000
left,6,301,46.875,88.375,-56.625
left,6,311,59.813,82.563,-62.938
left,6,321,66.813,81.563,-72.563
left,6,331,67.250,90.125,-89.625
left,6,341,62.500,103.000,-104.563
left,6,351,53.375,117.938,-120.063
left,6,361,37.125,142.375,-129.000
left,6,371,24.437,168.125,-136.500
left,6,381,14.500,199.125,-146.812
left,6,391,12.563,216.187,-155.562
left,6,401,14.375,227.250,-162.687
left,6,411,18.875,237.937,-168.250
left,6,421,23.312,244.750,-172.000
left,6,431,28.375,248.437,-177.375
left,6,441,35.000,248.500,-186.562
left,6,451,38.625,247.250,-193.812
left,6,461,38.938,245.125,-200.812
left,6,471,34.563,237.187,-212.500
left,6,481,29.562,228.625,-225.625
left,6,491,21.937,218.187,-246.250
left,6,501,10.500,206.062,-263.375
left,6,511,-7.500,195.187,-276.875
left,6,521,-36.563,193.687,-284.625
left,6,531,-63.938,202.437,-282.875
left,6,541,-94.000,213.187,-274.875
left,6,551,-127.938,221.125,-257.125
left,6,561,-137.750,221.562,-238.812
left,6,571,-125.250,213.000,-219.375
left,6,581,-91.000,181.187,-196.125
left,6,591,-66.750,137.250,-175.812
left,6,601,-50.875,101.000,-142.562
left,6,611,-20.062,92.625,-131.437
left,6,621,30.000,107.375,-155.062
left,6,631,111.563,133.750,-215.562
left,6,641,163.937,147.500,-252.625
left,6,651,188.187,135.625,-262.312
left,6,661,189.125,85.250,-241.187
left,6,671,183.562,40.563,-212.312
