gesture,rep,t_ms,gx,gy,gz
right,5,381,14.688,-124.938,213.500
right,5,391,-10.750,-143.937,229.437
right,5,401,-21.062,-155.625,239.750
right,5,411,-15.500,-166.187,236.937
right,5,421,-0.125,-183.500,222.750
right,5,431,9.063,-190.687,205.750
right,5,441,8.750,-191.437,189.437
right,5,451,1.000,-196.437,179.312
right,5,461,0.250,-201.562,176.750
right,5,471,4.250,-197.187,174.000
right,5,481,1.687,-180.000,172.562
right,5,491,-10.625,-166.312,175.000
right,5,501,-22.437,-155.062,176.562
right,5,511,-26.812,-146.500,173.687
right,5,521,-21.187,-147.375,168.187
right,5,531,-9.688,-150.062,154.562
right,5,541,2.000,-145.437,136.937
right,5,551,0.625,-137.625,117.500
right,5,561,-10.688,-132.062,100.438
right,5,571,-17.125,-129.625,94.188
right,5,581,-18.125,-124.813,89.188
right,5,591,-16.250,-115.750,78.063
right,5,601,-13.938,-109.000,64.000
right,5,611,-11.375,-104.125,46.063
right,5,621,-12.313,-97.125,22.437
right,5,631,-19.750,-85.063,8.813
right,5,641,-30.375,-63.875,3.938
right,5,651,-38.250,-27.125,9.500
right,5,661,-33.938,9.688,19.625
right,5,671,-20.062,61.188,33.750
right,5,681,-14.250,95.188,42.188
right,5,691,-16.062,115.875,44.625
right,5,701,-18.437,130.000,36.250
right,5,711,-13.813,139.500,22.625
right,5,721,-5.187,148.125,6.875
right,5,731,4.125,155.312,-12.313
right,5,741,7.437,158.312,-26.625
right,5,751,8.563,160.625,-39.563
right,5,761,11.000,163.562,-52.125
right,5,771,14.813,165.562,-58.813
right,5,781,19.625,166.812,-64.625
right,5,791,27.750,167.937,-71.313
right,5,801,34.813,169.375,-83.375
right,5,811,39.375,166.375,-105.375
right,5,821,38.000,157.500,-124.313
right,5,831,34.063,146.562,-140.875
right,5,841,30.000,139.812,-155.187
right,5,851,29.812,142.437,-158.937
right,5,861,30.312,146.625,-155.437
right,5,871,31.625,149.250,-145.562
right,5,881,36.000,149.437,-136.562
right,5,891,44.063,149.250,-112.875
right,5,901,55.125,149.375,-123.625
right,5,911,61.188,149.000,-123.188
right,5,921,63.250,146.437,-123.250
right,5,931,60.375,141.812,-121.250
right,5,941,53.938,134.000,-118.625
right,5,951,44.563,121.063,-119.250
right,5,961,39.625,111.688,-124.438
right,5,971,37.875,107.313,-131.125
right,5,981,35.500,109.500,-136.500
right,5,991,29.312,113.688,-139.187
right,6,1,-10.500,-1.500,4.437
right,6,11,-10.500,-0.437,5.062
right,6,21,-11.688,-0.250,4.312
right,6,31,-14.625,-1.125,2.625
right,6,41,-19.812,-3.750,0.187
right,6,51,-22.875,-5.875,-0.750
right,6,61,-22.687,-6.437,0.000
right,6,71,-18.375,-4.000,1.375
right,6,81,-11.688,0.375,2.125
right,6,91,-4.000,5.312,1.500
right,6,101,-1.562,6.500,0.562
right,6,111,-2.313,5.812,0.312
right,6,121,-3.250,5.750,1.625
right,6,131,0.187,8.000,3.625
right,6,141,8.438,11.813,6.187
right,6,151,22.250,15.188,10.000
right,6,161,32.750,13.813,12.875
right,6,171,41.375,7.687,15.375
right,6,181,51.250,2.563,15.750
right,6,191,59.250,-1.500,13.688
right,6,201,66.250,-8.563,7.625
right,6,211,67.000,-17.625,2.313
right,6,221,64.250,-26.500,-1.562
right,6,231,57.000,-31.250,-2.813
right,6,241,48.938,-29.000,1.187
right,6,251,41.125,-22.437,10.500
right,6,261,35.563,-6.937,25.812
right,6,271,35.688,12.000,36.438
right,6,281,36.188,30.937,42.250
right,6,291,29.437,39.938,45.063
right,6,301,15.563,28.937,51.688
right,6,311,-9.250,-3.000,75.188
right,6,321,-30.500,-34.125,104.250
right,6,331,-48.125,-60.438,136.000
right,6,341,-54.313,-75.188,174.875
right,6,351,-42.688,-70.750,205.625
right,6,361,-24.375,-58.063,235.500
right,6,371,-10.000,-43.438,270.187
right,6,381,-14.625,-42.563,292.625
right,6,391,-33.500,-56.313,306.437
right,6,401,-54.875,-83.625,310.062
right,6,411,-60.063,-100.313,306.062
right,6,421,-53.188,-112.375,299.750
right,6,431,-26.187,-123.375,290.812
right,6,441,-3.563,-140.062,277.312
right,6,451,4.125,-161.000,261.187
right,6,461,-9.250,-171.187,253.812
right,6,471,-27.375,-175.562,250.812
right,6,481,-36.188,-176.312,244.187
